MIRNA	GENE	INPUT
rno-miR-322	Gimap4	1
rno-miR-322	Mgat2	1
rno-miR-322	Plk2	1
rno-miR-322	Tmem106b	1
rno-miR-322	Dync1i1	1
rno-miR-322	Cx3cl1	1
rno-miR-322	Ly6e	1
rno-miR-322	Fzd1	1
rno-miR-322	Fzd1	1
rno-miR-322	Tmem33	1
rno-miR-322	Tmem33	1
rno-miR-322	Dync1i2	1
rno-miR-322	Glo1	1
rno-miR-322	Fam110c	1
rno-miR-322	Gosr2	1
rno-miR-322	RGD1307161	1
rno-miR-322	Nucb1	1
rno-miR-322	Bgn	1
rno-miR-322	Fam104a	1
rno-miR-322	Vps33b	1
rno-miR-322	Sfrs5	1
rno-miR-322	Eif3g	1
rno-miR-322	Wif1	1
rno-miR-322	Rpl31	1
rno-miR-322	RGD1305592	1
rno-miR-322	Gck	1
rno-miR-322	Cckbr	1
rno-miR-322	Idh3a	1
rno-miR-322	Chst15	1
rno-miR-322	RGD1308059	1
rno-miR-322	Ntrk3	1
rno-miR-322	Slco1a1	1
rno-miR-322	Prkag2	1
rno-miR-322	Prkag2	1
rno-miR-322	Inpp4b	1
rno-miR-322	Shisa5	1
rno-miR-322	Snap29	1
rno-miR-322	Chek1	1
rno-miR-322	Prps2	1
rno-miR-322	Ireb2	1
rno-miR-322	Uhmk1	1
rno-miR-322	Gmfb	1
rno-miR-322	Akap12	1
rno-miR-322	Atp6v0e1	1
rno-miR-322	Atp6v0e1	1
rno-miR-322	Igf1	1
rno-miR-322	Dnase1l1	1
rno-miR-322	N4bp2l2	1
rno-miR-322	Clcnkb	1
rno-miR-322	RGD1308470	1
rno-miR-322	RGD1308470	1
rno-miR-322	Ywhah	1
rno-miR-322	Cdc37	1
rno-miR-322	Fam71f2	1
rno-miR-322	Inpp5j	1
rno-miR-322	Mesdc1	1
rno-miR-322	Hars2l	1
rno-miR-322	Cdc27	1
rno-miR-322	Add1	1
rno-miR-322	Txnrd1	1
rno-miR-322	Ak3l1	1
rno-miR-322	Cpt1a	1
rno-miR-322	Dab2ip	1
rno-miR-322	Neurog3	1
rno-miR-322	Bcat2	1
rno-miR-322	RGD1309106	1
rno-miR-322	Tacstd2	1
rno-miR-322	LOC498368	1
rno-miR-322	LOC498368	1
rno-miR-322	Eif4e	1
rno-miR-322	Eif4e	1
rno-miR-322	Slc5a2	1
rno-miR-322	Chrna7	1
rno-miR-322	Acsbg1	1
rno-miR-322	Eif2b2	1
rno-miR-322	Map1lc3b	1
rno-miR-322	Map1lc3b	1
rno-miR-322	Snx16	1
rno-miR-322	Pcdha5	1
rno-miR-322	Hibadh	1
rno-miR-322	Sil1	1
rno-miR-322	Spata6	1
rno-miR-322	Vps54	1
rno-miR-322	Pth	1
rno-miR-322	Lhb	1
rno-miR-322	Lphn2	1
rno-miR-322	Cdca4	1
rno-miR-322	Wipi2	1
rno-miR-322	Slc11a2	1
rno-miR-322	Aqp1	1
rno-miR-322	Aqp1	1
rno-miR-322	Mbtps2	1
rno-miR-322	Dkk3	1
rno-miR-322	Nr1i3	1
rno-miR-322	Ccdc23	1
rno-miR-322	Tcta	1
rno-miR-322	RGD1307100	1
rno-miR-322	Med4	1
rno-miR-322	Cited2	1
rno-miR-322	Arcn1	1
rno-miR-322	Oprk1	1
rno-miR-322	Aoc3	1
rno-miR-322	Skap1	1
rno-miR-322	Txnl4b	1
rno-miR-322	Bles03	1
rno-miR-322	Acsl3	1
rno-miR-322	RGD1311072	1
rno-miR-322	Nelf	1
rno-miR-322	Rage	1
rno-miR-322	Visa	1
rno-miR-322	Pitpna	1
rno-miR-322	Pitpna	1
rno-miR-322	Sumf2	1
rno-miR-322	Sdhaf2	1
rno-miR-322	Serbp1	1
rno-miR-322	Ralbp1	1
rno-miR-322	Mapk3	1
rno-miR-322	Mapk3	1
rno-miR-322	Rph3al	1
rno-miR-322	Pars2	1
rno-miR-322	Cacnb1	1
rno-miR-322	Zfp105	1
rno-miR-322	Ipmk	1
rno-miR-322	Pnkp	1
rno-miR-322	Bcl2l1	1
rno-miR-322	Faah	1
rno-miR-322	Zfp423	1
rno-miR-322	Sstr1	1
rno-miR-322	Sstr1	1
rno-miR-322	Ptpro	1
rno-miR-322	Adrb2	1
rno-miR-322	Tmem19	1
rno-miR-322	Adra1d	1
rno-miR-322	Pot1	1
rno-miR-322	Serinc3	1
rno-miR-322	Rad23b	1
rno-miR-322	Rad23b	1
rno-miR-322	Sumo3	1
rno-miR-322	Sept5	1
rno-miR-322	Capza2	1
rno-miR-322	Capza2	1
rno-miR-322	Hdac1	1
rno-miR-322	Emp1	1
rno-miR-322	Lrrc8d	1
rno-miR-322	Sp4	1
rno-miR-322	Tmem27	1
rno-miR-322	Tf	1
rno-miR-322	Stmn2	1
rno-miR-322	Pfn1	1
rno-miR-322	Atp6v1b2	1
rno-miR-322	Aldh3a1	1
rno-miR-322	RGD1310553	1
rno-miR-322	Mthfs	1
rno-miR-322	Grin2b	1
rno-miR-322	Ntrk2	1
rno-miR-322	Plcd4	1
rno-miR-322	Cdkn2b	1
rno-miR-322	Sfpi1	1
rno-miR-322	Nif3l1	1
rno-miR-322	Cd47	1
rno-miR-322	Ndfip1	1
rno-miR-322	Tmem41b	1
rno-miR-322	Aadac	1
rno-miR-322	Bag5	1
rno-miR-322	Lnpep	1
rno-miR-322	Erbb2	1
rno-miR-322	Cflar	1
rno-miR-322	Cryz	1
rno-miR-322	Decr2	1
rno-miR-322	Tmem165	1
rno-miR-322	Hspa4	1
rno-miR-322	Cbfb	1
rno-miR-322	Ntrk3	1
rno-miR-322	Olfm3	1
rno-miR-322	Gls2	1
rno-miR-322	Ppapdc2	1
rno-miR-322	B3gntl1	1
rno-miR-322	Rassf2	1
rno-miR-322	Rwdd4a	1
rno-miR-322	Dyrk1a	1
rno-miR-322	Igf2r	1
rno-miR-322	Slco1a6	1
rno-miR-322	Nr1i3	1
rno-miR-322	Trpv5	1
rno-miR-322	Taf9b	1
rno-miR-322	Tceal8	1
rno-miR-322	Colq	1
rno-miR-322	Cyp26b1	1
rno-miR-322	Zdhhc7	1
rno-miR-322	Dnttip1	1
rno-miR-322	Galnt4	1
rno-miR-322	Cyp3a2	1
rno-miR-322	Insr	1
rno-miR-322	Insr	1
rno-miR-322	Slc13a3	1
rno-miR-322	Pnldc1	1
rno-miR-322	Ccdc19	1
rno-miR-322	Zfp367	1
rno-miR-322	Gls2	1
rno-miR-322	Wsb1	1
rno-miR-322	Wsb1	1
rno-miR-322	Lzts1	1
rno-miR-322	Lrp4	1
rno-miR-322	Cyr61	1
rno-miR-322	Ppt2	1
rno-miR-322	Aanat	1
rno-miR-322	Dclk2	1
rno-miR-322	Kcnj14	1
rno-miR-322	Rab3a	1
rno-miR-322	Wisp1	1
rno-miR-322	Nat8b	1
rno-miR-322	Thnsl2	1
rno-miR-322	Taf9b	1
rno-miR-322	Crisp2	1
rno-miR-322	As3mt	1
rno-miR-322	Dync1li2	1
rno-miR-322	Fkbp14	1
rno-miR-322	Csde1	1
rno-miR-322	Rnf10	1
rno-miR-322	Zfp219	1
rno-miR-322	Tpsab1	1
rno-miR-322	Coro1b	1
rno-miR-322	Coro1b	1
rno-miR-322	Coro1b	1
rno-miR-322	Dll3	1
rno-miR-322	Rtn3	1
rno-miR-322	Fam149b1	1
rno-miR-322	Slco1a5	1
rno-miR-322	Slc26a4	1
rno-miR-322	Odc1	1
rno-miR-322	Paqr5	1
rno-miR-322	Fabp9	1
rno-miR-322	Kcnc2	1
rno-miR-322	Chrna10	1
rno-miR-322	Gstm7	1
rno-miR-322	Nanp	1
rno-miR-322	Sacm1l	1
rno-miR-322	Ctgf	1
rno-miR-322	Eif5	1
rno-miR-322	Cript	1
rno-miR-322	Cript	1
rno-miR-322	Abca5	1
rno-miR-322	Crkrs	1
rno-miR-322	Ctsm	1
rno-miR-322	Mobkl3	1
rno-miR-322	Hagh	1
rno-miR-322	Tgfbr3	1
rno-miR-322	Commd9	1
rno-miR-322	Siah1a	1
rno-miR-322	Calu	1
rno-miR-322	Naprt1	1
rno-miR-322	Btla	1
rno-miR-322	Nudt4	1
rno-miR-322	Mrps18b	1
rno-miR-322	Sept2	1
rno-miR-322	RGD1307799	1
rno-miR-322	Cdca7l	1
rno-miR-322	Ralyl	1
rno-miR-322	Cbln2	1
rno-miR-322	Pcdha7	1
rno-miR-322	Inpp4a	1
rno-miR-322	Pcyox1	1
rno-miR-322	Lrrc1	1
rno-miR-322	Hcrtr1	1
rno-miR-322	Vapa	1
rno-miR-322	Trmt1	1
rno-miR-322	Pcdhac1	1
rno-miR-322	Trhr	1
rno-miR-322	Erbb2	1
rno-miR-322	Cybasc3	1
rno-miR-322	Prkar2a	1
rno-miR-322	Prkar2a	1
rno-miR-322	Rab28	1
rno-miR-322	Ythdf1	1
rno-miR-322	Phkg2	1
rno-miR-322	Gng11	1
rno-miR-322	Ppap2c	1
rno-miR-322	Fam122a	1
rno-miR-322	Laptm4a	1
rno-miR-322	Gpr160	1
rno-miR-322	G0s2	1
rno-miR-322	Nr1i3	1
rno-miR-322	Kpna4	1
rno-miR-322	Polr2f	1
rno-miR-322	Polr2f	1
rno-miR-322	Tert	1
rno-miR-322	Cdc42ep2	1
rno-miR-322	Dgcr14	1
rno-miR-322	Calcrl	1
rno-miR-322	Cxcr3	1
rno-miR-322	Itih3	1
rno-miR-322	Gnb1	1
rno-miR-322	Csf1r	1
rno-miR-322	Cldnd1	1
rno-miR-322	P2rx4	1
rno-miR-322	Nptn	1
rno-miR-322	Lyl1	1
rno-miR-322	Ppap2b	1
rno-miR-322	Tnmd	1
rno-miR-322	Pcdha4	1
rno-miR-322	Nuak2	1
rno-miR-322	Nuak2	1
rno-miR-322	Nuak2	1
rno-miR-322	Rabif	1
rno-miR-322	Sstr3	1
rno-miR-322	Sstr3	1
rno-miR-322	Mt1a	1
rno-miR-322	Arhgdia	1
rno-miR-322	Gnl1	1
rno-miR-322	Cercam	1
rno-miR-322	Aurka	1
rno-miR-322	Sar1a	1
rno-miR-322	Sar1a	1
rno-miR-322	Tmub2	1
rno-miR-322	Mmgt2	1
rno-miR-322	Gucy1b2	1
rno-miR-322	Rab4b	1
rno-miR-322	Agxt2	1
rno-miR-322	Foxm1	1
rno-miR-322	Prkcg	1
rno-miR-322	Iqsec3	1
rno-miR-322	Armcx3	1
rno-miR-322	Akap6	1
rno-miR-322	Mlycd	1
rno-miR-322	Ptrh2	1
rno-miR-322	Ciapin1	1
rno-miR-322	Mrrf	1
rno-miR-322	Lypd1	1
rno-miR-322	Gpatch4	1
rno-miR-322	Capn6	1
rno-miR-322	Snx11	1
rno-miR-322	Furin	1
rno-miR-322	Furin	1
rno-miR-322	Stxbp1	1
