MIRNA	GENE	INPUT
dme-miR-1	Oatp33Ea	1
dme-miR-1	CG13330	1
dme-miR-1	CG17012	1
dme-miR-1	CG7713	1
dme-miR-1	Dap160	1
dme-miR-1	Sk2	1
dme-miR-1	Adk2	1
dme-miR-1	Caps	1
dme-miR-1	CG5819	1
dme-miR-1	TyrR	1
dme-miR-1	wg	1
dme-miR-1	pain	1
dme-miR-1	CG3534	1
dme-miR-1	CG30194	1
dme-miR-1	pgant5	1
dme-miR-1	CG13743	1
dme-miR-1	CG6140	1
dme-miR-1	SRm160	1
dme-miR-1	CG17904	1
dme-miR-1	CG4050	1
dme-miR-1	Ggamma1	1
dme-miR-1	Mes-4	1
dme-miR-1	Rep	1
dme-miR-1	CG6330	1
dme-miR-1	CG12236	1
dme-miR-1	CG10880	1
dme-miR-1	CG4332	1
dme-miR-1	CG7183	1
dme-miR-1	Poxn	1
dme-miR-1	CG32652	1
dme-miR-1	inx2	1
dme-miR-1	mbc	1
dme-miR-1	Awh	1
dme-miR-1	sina	1
dme-miR-1	CG14301	1
dme-miR-1	CG12531	1
dme-miR-1	CG32440	1
dme-miR-1	chif	1
dme-miR-1	Grip128	1
dme-miR-1	Snx6	1
dme-miR-1	CG6287	1
dme-miR-1	CG10195	1
dme-miR-1	ps	1
dme-miR-1	AlstR	1
dme-miR-1	pll	1
dme-miR-1	CG31064	1
dme-miR-1	Papst2	1
dme-miR-1	CalpA	1
dme-miR-1	CG34104	1
dme-miR-1	spas	1
dme-miR-1	CG3704	1
dme-miR-1	CG4496	1
dme-miR-1	CG34334	1
dme-miR-1	Crag	1
dme-miR-1	mxc	1
dme-miR-1	Hmu	1
dme-miR-1	Hmu	1
dme-miR-1	CG11852	1
dme-miR-1	CG9132	1
dme-miR-1	CG12824	1
dme-miR-1	CG4198	1
dme-miR-1	CG5359	1
dme-miR-1	CG8445	1
dme-miR-1	CG6220	1
dme-miR-1	usnp	1
dme-miR-1	mRpS24	1
dme-miR-1	CG18604	1
dme-miR-1	Reps	1
dme-miR-1	drongo	1
dme-miR-1	nerfin-1	1
dme-miR-1	Cpr49Ag	1
dme-miR-1	CG6954	1
dme-miR-1	CG34123	1
dme-miR-1	shtd	1
dme-miR-1	mit(1)15	1
dme-miR-1	Tsp42El	1
dme-miR-1	CG3244	1
dme-miR-1	par-6	1
dme-miR-1	par-6	1
dme-miR-1	CG6734	1
dme-miR-1	CREG	1
dme-miR-1	CG34434	1
dme-miR-1	Tb	1
dme-miR-1	enok	1
dme-miR-1	dpr9	1
dme-miR-1	CG8944	1
dme-miR-1	wb	1
dme-miR-1	bab1	1
dme-miR-1	CG11190	1
dme-miR-1	CG15221	1
