gene	E10.5	E11.5	E13.5
Gap43	8.58871463558	8.6177860341	8.87434415624
Clic1	6.65821148275	7.16849304595	7.3424331639
Psmc4	9.54689445989	9.37082240123	9.20258662783
Hspa8	9.64925617752	9.38658105323	9.12397766718
Cbr1	7.64385618977	8.79188640664	9.52754940689
Prdx2	7.20945336563	7.82752592299	7.89540426445
Arpc5	7.24792751344	7.66059020553	7.64157644997
Ss18	5.61470984412	7.48202360928	8.53228098982
Serbp1	7.31288295528	7.29861839499	6.85165852505
Vdac3	7.91288933623	8.09659537409	8.38514338989
Nudt21	8.08214904135	8.43943134507	8.3674946605
Ranbp1	7.70043971814	7.80465149272	7.19745898544
Eef1d	6.0	5.59599353785	5.0293774121
Fscn1	8.2714630279	9.00655984585	9.10590850857
Uqcrc1	9.65821148275	9.99791191775	10.0162725872
Hmgcs1	7.49185309633	7.96353834508	7.30394093194
Txndc5	8.34429590792	8.03502076893	8.18132976471
Tpt1	6.08746284125	5.54158395226	4.88316322065
Uqcrc2	9.95419631039	10.1384463514	10.3882209593
Pgls	6.65821148275	7.27469173878	7.01351952211
Gstp1	8.39660478118	8.6997973498	8.84948008037
Cfl2	7.39231742278	6.87002215873	6.19563052415
Crk	7.7747870596	7.69111799959	7.14613750874
Ewsr1	6.44294349585	6.81619407313	7.03675640191
Ivd	8.20457114425	9.1182065154	9.2912441906
Hnrpd	8.89481776331	9.21613955643	9.04651773772
Hnrpf	9.13442632022	8.8961014598	8.59952814061
Crabp1	8.04439411936	7.78245225053	6.37829485591
Hnrpm	9.89178370322	9.95061664594	9.76759223811
Hnrpl	8.88569637334	8.92954821517	8.87137158099
Snrpa1	8.73470962023	8.88637401311	8.58452242245
Hnrpk	8.503825738	8.72086065443	8.56256044363
Mccc2	7.48381577726	7.68368032318	8.03762769805
Fabp7	6.62935662008	9.67536901784	10.6744865456
Clcf1	5.20945336563	5.3114187361	5.08863022773
Marcks	6.95419631039	7.94836723158	7.78556923357
Fabp3	7.23840473933	10.0666658456	10.8734441125
Ube2v2	6.62935662008	7.38458255653	6.79587549319
Cmpk	7.48381577726	8.24172063039	8.45129193282
Hint1	7.79441586635	7.89865826944	7.82343223363
Pgk1	9.78626962765	9.52356195606	9.32222209245
Hadh	8.48784003382	8.86398509739	8.79108247525
Ube2m	7.96578428466	8.6532495993	8.6532495993
Rpsa	8.92184093707	8.55533225602	7.99851620367
Rps21	7.73470962023	7.6646589134	7.06967352781
Ak3	8.99152184608	9.38677011285	9.4848087144
Erp29	7.36632221425	7.74137943094	7.98474707845
Calr	7.33091687811	7.5640373794	7.65105169118
Hspa4l	7.09803208296	8.41362792902	8.52578531509
Calu	4.39231742278	5.63750846241	6.33985000288
Cotl1	6.80735492206	8.15792988171	7.95225589982
Mif	6.62935662008	4.9527724107	3.86526630785
Vcp	7.45121111183	7.3145317498	7.03177834217
Acat1	7.96578428466	8.07007765215	9.02167404286
Igf2bp1	9.20212382383	9.40271806096	8.96377778841
Igf2bp3	8.27612440527	8.17883934172	7.96690077772
Igf2bp2	6.75488750216	6.8433531203	6.78376665733
Psmb5	9.55074678538	9.62465118395	9.65530950623
Ppia	6.56985560833	7.00030459095	6.76879273598
Npl	5.95419631039	6.54572505475	8.57837269136
Lin7c	7.45943161864	7.72685419137	7.50312903134
Cnn3	7.34872815423	7.88131349896	7.43746434118
Nup54	6.59991284219	7.15153891652	7.01122725542
Ccdc58	8.1497471195	7.6974495705	7.20586287189
Phb	7.57742882804	7.49381769471	7.30400711838
Hadha	8.44294349585	9.04099534762	9.13102715785
Tpm3	8.00562454919	8.18937533109	8.0642936768
Eif3s2	8.62570884306	8.17288370257	7.58693085627
Snrpg	7.02236781303	7.12628814668	6.84748701456
Ddx5	8.43462822764	8.31067531133	8.63499876666
Dlat	7.44294349585	7.33257533909	8.03958374914
Strap	7.48381577726	7.29590987668	6.62647122904
Atp6v1b2	5.61470984412	5.5060320315	5.44220956134
Ptrh2	6.68650052718	6.46237118166	6.20666554826
Nsfl1c	8.75154405909	8.33044869864	7.92227536802
Ube2n	7.24792751344	7.43121266498	7.19172359172
Eif1	7.26678654069	7.77854652763	7.55140347267
Sephs1	7.65105169118	7.83461469463	7.86763791392
Gapdh	8.30378074818	8.06581544294	7.87241837835
Glud1	7.87036471958	7.68219378797	7.66965536664
Lasp1	9.25738784269	9.34651373317	9.08137149234
Aldoa	10.0471239121	9.09234848017	8.44583166608
Stmn1	7.55458885168	7.689959584	6.6658707439
Ddah2	6.47573343097	8.0642936768	8.25005333253
Txn	8.01122725542	8.36845049646	8.14678545149
Idh1	9.38370429247	10.004436568	10.5669189114
Psma3	6.58496250072	6.6138082536	6.64325494157
Mat2b	8.2288186905	8.31779746073	8.44573671074
Alb	9.15734693536	11.5512276036	12.3395210682
Rbbp7	8.43462822764	7.85174904142	7.34176300573
Nola2	7.59245703727	7.6214538731	7.69663106375
Actl6a	8.48381577726	8.10651261007	7.57662505341
Rplp2	7.40939093614	7.1843243805	6.41785251489
Hadh2	6.39231742278	6.64110557876	6.51123700652
Pafah1b2	6.26678654069	6.67713234465	6.81717178042
Uchl1	7.7414669864	8.57499891161	9.3364051223
Pcmt1	8.26209484537	7.25252492617	7.1108197657
Uchl3	8.98013957764	8.95162756075	9.14794805181
Eif5a	7.15987133678	6.7517705517	6.19142877898
