miRNA	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
mmu-miR-19b	10.3948913664	10.3948913664	10.3948913664	10.3948913664	10.3948913664	10.0627207672	9.30514974563	9.30514974563	9.30514974563	5.15785216914
mmu-miR-1	4.49185309633	4.49185309633	4.49185309633	4.49185309633	4.49185309633	6.30012372457	7.10013667129	7.10013667129	7.10013667129	5.51727569321
mmu-miR-1	4.49185309633	4.49185309633	4.49185309633	4.49185309633	4.49185309633	6.30012372457	7.10013667129	7.10013667129	7.10013667129	5.51727569321
mmu-miR-20	11.1680452682	11.1680452682	11.1680452682	11.1680452682	11.1680452682	9.70165301374	8.80413102118	8.80413102118	8.80413102118	5.78920757535
mmu-miR-203	4.40599235968	4.40599235968	4.40599235968	4.40599235968	4.40599235968	4.20945336563	4.51096191928	4.51096191928	4.51096191928	2.29278174923
mmu-miR-204	7.33628338786	7.33628338786	7.33628338786	7.33628338786	7.33628338786	7.55535603864	8.28123458465	8.28123458465	8.28123458465	7.56757586852
mmu-miR-205	4.09592442	4.09592442	4.09592442	4.09592442	4.09592442	2.43295940728	2.29278174923	2.29278174923	2.29278174923	1.32192809489
mmu-miR-21	8.31333656165	8.31333656165	8.31333656165	8.31333656165	8.31333656165	7.72860081064	7.97613447283	7.97613447283	7.97613447283	7.14363830992
mmu-miR-210	8.37677657188	8.37677657188	8.37677657188	8.37677657188	8.37677657188	7.6021420907	6.61765111943	6.61765111943	6.61765111943	5.52042224853
mmu-miR-212	2.56071495447	2.56071495447	2.56071495447	2.56071495447	2.56071495447	2.88752527074	3.15380533608	3.15380533608	3.15380533608	6.15583017156
mmu-miR-213	8.13699111208	8.13699111208	8.13699111208	8.13699111208	8.13699111208	7.5077946402	7.93840342367	7.93840342367	7.93840342367	5.09169983414
mmu-miR-214	7.86294724802	7.86294724802	7.86294724802	7.86294724802	7.86294724802	4.81249822533	3.08746284125	3.08746284125	3.08746284125	1.76553474636
mmu-miR-216	5.2816982501	5.2816982501	5.2816982501	5.2816982501	5.2816982501	4.13750352375	3.82781902462	3.82781902462	3.82781902462	2.03562390973
mmu-miR-218	7.30012372457	7.30012372457	7.30012372457	7.30012372457	7.30012372457	7.66391384212	7.45779126026	7.45779126026	7.45779126026	8.00842862207
mmu-miR-219	9.65999589243	9.65999589243	9.65999589243	9.65999589243	9.65999589243	8.55266909751	8.02735313393	8.02735313393	8.02735313393	8.56605403817
mmu-miR-22	7.55612281784	7.55612281784	7.55612281784	7.55612281784	7.55612281784	7.55995061271	8.93869746118	8.93869746118	8.93869746118	9.1497471195
mmu-miR-221	7.40002551791	7.40002551791	7.40002551791	7.40002551791	7.40002551791	7.37590826308	9.10092510106	9.10092510106	9.10092510106	8.33449676839
mmu-miR-222	3.72246602447	3.72246602447	3.72246602447	3.72246602447	3.72246602447	3.93545974781	6.0	6.0	6.0	5.46923479367
mmu-miR-223	4.56681515401	4.56681515401	4.56681515401	4.56681515401	4.56681515401	4.77610398807	4.80735492206	4.80735492206	4.80735492206	3.03562390973
