gene	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
Olfr769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dbf4	7.8985494668	8.16206306334	7.39446482781	7.21882959256	7.15313651624	5.87495486905	6.99250691893	7.40126753621	6.18305603958	3.40805137691
Rprd1b	7.2941698646	7.53319496352	6.35170966697	6.10099866586	7.04430668065	6.10504148109	6.11939514448	6.69090407076	6.21701741428	6.63800601097
Ppil6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tbpl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trim43a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adgrf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tbcb	7.08808354003	6.35913370559	7.20308670186	6.41871281327	6.55570880769	5.62793917452	6.26686211982	5.92500023276	6.08972191148	5.79047126557
Kcnk18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Por	9.10534388288	9.5305052613	8.99598170397	9.0711941787	9.10092247367	9.62276850622	9.0566676131	9.44920284985	8.99001739617	8.6203547167
Chrm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hus1b	0.0	0.0	1.09578132535	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Htr1f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700024P04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cetn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Exosc8	6.39844778511	6.41644181737	6.37593875683	4.93512968177	5.62234472272	5.15197368948	5.16479272809	5.73472251479	5.52806313382	5.15830786831
Pkp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nek1	2.69972228229	5.04642394655	4.11596261326	3.77431267092	2.15283240469	3.36471860442	4.20444428084	3.17613123902	2.89001790696	1.31718046585
Tas2r131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rgs3	7.13786122697	8.12242099598	8.30442654425	7.41025629358	7.28653003942	7.71016070325	7.78867354697	8.22278456617	7.93426361659	7.99974818122
Ccdc40	0.0	2.99781217475	2.83850879589	0.0	2.98075651923	1.94132152468	1.63129174659	0.0	1.60527236098	0.0
Nedd9	5.90703530585	6.47621792451	5.55623999775	7.13451873189	6.65775431883	4.44062238057	4.16325111339	3.90027108536	3.34992271368	2.69750385157
Smc2	2.98648415094	3.82015382706	2.9432284455	6.0092799811	6.50185310421	4.56837286528	5.96445020802	7.19019951414	6.97839510955	0.0
Ddx17	10.6370382429	10.5833786057	10.0740207448	10.4515428935	10.7749171598	10.8329040125	11.1011095817	10.8842121613	11.038080018	10.5806993519
Slc7a3	0.0	0.0	1.18326602277	0.0	0.0	0.0	2.42200342532	1.15560622732	1.60527236098	1.31718046585
Dpy19l1	8.2634965013	7.74618902796	8.21130845661	7.89325905341	8.32906079104	7.75120065297	8.5186147798	8.86458578833	9.05456623902	8.37646511745
2700097O09Rik	2.71572790834	4.59198934234	4.25474708399	5.12184429788	5.00108161573	1.48863996175	4.76703127603	5.04036300441	4.61814595095	4.71420404014
Gale	7.45519414031	7.97932630667	7.85212556238	7.37395265537	7.62562118298	5.90039379588	6.53037278555	6.89200063454	6.75080614426	5.00332894484
Gsdma2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930519F16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem63c	0.0	0.0	0.0	0.0	2.98075651923	0.0	0.0	0.0	0.0	0.0
Abca3	8.55500852407	8.17691433903	8.08959106747	8.7555919798	8.96820021756	8.57917722334	9.05172667511	8.7576509999	8.76922900443	8.30715114181
Arhgef25	4.44884939181	5.02922616184	4.36059842895	4.16269343221	5.00108161573	5.19972350051	5.45062471001	5.73547653372	4.05642300791	5.93293812821
Zic3	0.0	1.79559650587	2.34820259485	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grin2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fyn	9.50009659635	9.74548449057	9.17282634868	9.0483370112	9.2634922198	8.52335747315	8.58262349179	8.45913749702	8.40125976359	7.00540573696
Gjc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
